"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
372,7094,902,"Tsca",54,18.5,,,30.2,31.3,31.9,32.1,32.8,33.2,,,,,,,,,,,,,
373,7094,13,"Tsca",55,8.5,20.5,20.8,22,21.8,22.1,22.1,22.5,23.8,,,,,,,,,,,,,
375,7094,72,"Tsca",55,15.9,,,6.9,7.1,7,7,7,7,,,,,,,,,,,,,
374,7094,903,"Tsca",55,19.5,,,25.3,25.6,26.2,26.3,27,27,,,,,,,,,,,,,
376,7094,12,"Tsca",56,8.2,36,37,41.7,42.8,44.3,45,45.7,46.8,,,,,,,,,,,,,
377,7094,14,"Tsca",62,10.7,29.2,29.9,33.1,33.6,34.4,35,36,36.3,,,,,,,,,,,,,
380,7094,11,"Tsca",76,3.7,20.5,20.8,23,22.9,23.4,24.1,25.4,26.9,,,,,,,,,,,,,
378,7094,18,"Acsa",76,12.3,35.5,35.8,38.4,37.9,37.3,37.7,38.3,39.7,,,,,,,,,,,,,
379,7094,17,"Acru",76,13.7,25.6,25.9,27,27.1,27,,,,,,,,1,,,,,,"standing, small twigs",,
381,7094,919,"Tsca",79,15.9,,,44.6,45.9,46,48.5,48.3,49,,,,,,,,,,,,,
382,7094,75,"Osvi",99,14.9,,,20.7,,,,,,,,1,,,,,,"stndg - 1",,,,
383,7094,19,"Tsca",100,11.3,32.5,33.7,40.6,42.8,44.4,46.1,48,49.7,,,,,,,,,,,,,
384,7094,904,"Acru",103,18.1,,,27.7,28.7,29.9,30.1,31.3,31.9,,,,,,,,,,,,,
385,7094,21,"Belu",106,6.7,26.6,27.4,30.8,30.8,30.4,30.9,31,30.8,,,,,,,,,,,,,
386,7094,74,"Tsca",108,11,,,7.5,7.7,7.9,8,8,,,,,,,,1,,,,,,"1- standing"
387,7094,73,"Osvi",108,11.7,,,9.5,9.5,9.5,9.5,,,,,,,,1,,,,,,"tipped",
388,7094,905,"Acsa",108,16.7,,,45.6,46.8,46.9,47,47.9,48.1,,,,,,,,,,,,,
389,7094,22,"Tsca",115,6.3,25.9,26.6,30.1,30.9,32,33.3,34.4,35.9,,,,,,,,,,,,,
390,7094,23,"Belu",121,6.2,29.2,29.7,33,33.8,33.2,,,,,,,,1,,,,,,"standing, top broken",,
391,7094,20,"Osvi",121,14.2,15.4,15.7,16.6,17,17.4,17,17,17.1,,,,,,,,,,,,,
392,7094,24,"Tsca",123,6.3,13.9,14.2,15.1,15.8,15.2,15.4,15.5,15.4,,,,,,,,,,,,"barely alive",
393,7094,25,"Tsca",124,5.4,16.7,17,17.4,18.4,17.7,17.4,,,,,,,,1,,,,,,,
394,7094,,"Tsca",126,15.8,,,,,7.4,7.4,,,,,,,,1,,,,,,"tipped",
1405,7094,,"Osvi",131,14.8,,,16.4,16.8,17.1,17.4,17.8,,,,,,,,1,,,,,"CHECK",
395,7094,34,"Belu",139,15.9,26.4,27.4,32.7,32.7,33.3,33.3,33.6,,,,,,,,1,,,,,,"1- standing"
396,7094,26,"Tsca",142,4.9,22.8,23.1,24.9,23.9,24.1,24.2,24.2,24.2,,,,,,,,,,,,,
397,7094,906,"Acru",143,16.8,,,33.9,34.8,35.8,36,37,37.4,,,,,,,,,,,,,
398,7094,35,"Tsca",144,16,18.2,18.7,20.9,21.5,21.8,22,22.6,22.9,,,,,,,,,,,,,
399,7094,33,"Tsca",153,13.2,47.2,49,56.3,57.5,59.1,60.6,62.5,63.6,,,,,,,,,,,,,
400,7094,31,"Tsca",154,10.8,19.5,20,21.5,21.8,21.9,22,22.4,22.6,,,,,,,,,,,,,
401,7094,32,"Acsa",154,11.4,20.8,21,22.2,22.8,23.1,23.4,23.2,22.9,,,,,,,,,,,,,
402,7094,27,"Tsca",156,4.7,12.9,13.2,13.5,13.4,13.4,13.5,13.4,,,,,,,,1,,,,,,"1- standing"
403,7094,28,"Tsca",160,4.7,15.7,16,17.1,17.5,17.6,18.4,18.2,,,,,,,,1,,,,,,"1- standing"
1406,7094,,"Tsca",161,9.6,,,,12.3,,,,,,,,1,,,,,,,,"CHECK",
404,7094,,"Tsca",161,14,,,,12.3,12.2,,,,,,,,1,,,,,,"standing with small twigs",,
405,7094,37,"Tsca",162,13.3,15.7,16.2,18.2,18.5,18.5,18.8,19.4,19,,,,,,,,,,,,,
406,7094,910,"Acsa",170,16.5,,,29.3,29.8,29.7,29.4,29.2,29.3,,,,,,,,,,,,,
407,7094,38,"Belu",172,12.7,17,,,,,,,,1,,,,,,,"Dead. > 10 yrs.",,,,,
410,7094,29,"Tsca",185,1.4,25.6,25.9,26.7,26.7,26.8,27.2,26.5,26.7,,,,,,,,"Tag on tree.",,,,,
